Rating,Reviews,Brand,Product_Name,Price,Size,Category
4.5,98000.0,Minimalist,Salicylic Face Wash- - 100 ml,284,90-100 ML,face wash and cleanser
,,Aurrelis,Discovery Pack (6x8) 48ml,926,25-50 ML,perfume
4.6,18.0,BIRRA,Trulove EDP - 100 ml,1343,75-100 ML,perfume
4.4,15.0,BIRRA,Men Alden EDP - 105 ml,1121,100-150 ML,perfume
3.7,19.0,FLiCKA,Lipstick - Twinkle Twinkle 01,435,4-5 ML,lipstick
4.2,29.0,BIRRA,Men Acqua Eau De Parfum- 105ml,1343,100-150 ML,perfume
4.7,7.0,BIRRA,Men Dark Side EDP - 105 ml,1348,100-150 ML,perfume
4.4,668.0,OROSSENTIALS,Small Oval Wooden Hair Brush,432,Onesize,hair brush and comb
5.0,5.0,BIRRA,Glimpse EDP - 100 ml,1348,75-100 ML,perfume
,,BIRRA,Men Milano Max EDP - 120 ml,1088,100-150 ML,perfume
4.5,300.0,KAMA AYURVEDA,Sustain Unisex Cleansing Foam 100 ml,2295,90-100 ML,face wash and cleanser
,,Bhartiye Products,Structured Handheld Bag,750,Onesize,handbags
4.5,176.0,OXYLIFE,ProRadiance Pure Oxygen Facial,215,50-60 ML,facial kit
4.3,14500.0,WOW SKIN SCIENCE,Face Wash with Built-In Brush,298,125-150 ML,face wash and cleanser
,,THE 9192,Hair Oil Gel & Spider Wax,1161,Pack,hair gels and wax
4.4,29.0,Inatur,Natural Argan Oil - 30 ml,399,30-50 ML,massage oils
4.2,6800.0,Renee,Set Of 4 Very Matte Lipsticks,473,0-2 ML,lipstick
4.5,16900.0,Bio Oil,Specialist Skin Care Oil 60 ml,500,50-100 ML,massage oils
4.5,16900.0,Bio Oil,Specialist Skin Care Oil 125ml,965,100-150 ML,massage oils
4.5,1600.0,FAE BEAUTY,Lush Liquid Blush - Spicy 08,540,5-5.5 ML,blush
4.6,12.0,OXYLIFE,Pro White Facial with 2 Kajals,1251,260-280 ML,facial kit
4.3,8.0,TNW the natural wash,2 Pc Almond Oil & Rose Water,748,150-200 ML,massage oils
3.9,617.0,Renee,Lipstick - Queen Bee S06,414,3.5-4 ML,lipstick
,,THE 9192,Spider Wax & Mix Fruit Gel,738,Pack,hair gels and wax
,,THE 9192,Hair Comb Mix Fruit Hair Gel,286,100-150 ML,hair gels and wax
4.5,51700.0,Minimalist,Salicylic Acid Face Serum 10ml,236,0-10 ML,serum and gel
,,Earthan,4-Pcs Teapot and Cup,3500,Onesize,tea set
4.4,6700.0,Plum,Set of 3 Face Serum,1231,Pack,serum and gel
4.4,1100.0,Quench,Cica Pimple Acne Patches-24Pcs,254,Pack,mask and peel
4.7,821.0,MCaffeine,De-Tan Raspberry Gift Kit,850,400gm & Above,skin care combo
4.5,558.0,TNW the natural wash,Kumkumadi Face Toner - 100 ml,270,90-100 ML,toner
4.5,10100.0,LOreal Professionnel,XtensoCare Hair Serum- 50ml,795,30-50 ML,hair serum
,,KAZIMA,100% Pure & Natural Spikenard Essential Oil 15 ml,549,10-20 ML,massage oils
4.4,93.0,Satthwa,Cold Pressed Castor Oil- 200ml,249,150-200 ML,massage oils
4.5,4500.0,Olay,Total Effects Cleanser 100g,212,90-100 ML,face wash and cleanser
,,Oriflame Sweden,Clarifying Toning Solution,472,140-160 ML,toner
4.3,17.0,Lush Naturals,Set Of 3 Almond & Rose Soaps,580,300 Gram,soap
4.6,98500.0,Ponds,Activated Charcoal Face Wash,268,150-200 ML,face wash and cleanser
4.4,132.0,Soulflower,Kumkumadi Face Wash 100 ml,299,100-125 ML,face wash and cleanser
4.5,8.0,Oriflame,Oil Control Clay mask - 50 ml,418,40-50 ML,mask and peel
4.5,1400.0,Jovees,Cucumber Skin Toner 200 ml,276,200-220 ML,toner
,,Thalgo,Purete Marine Gel - 200 ml,3400,150-200 ML,face wash and cleanser
4.3,104.0,BAKE,De-Tan Sunscreen Spray,420,100-120 ML,face sunscreen
4.4,109.0,BRILLARE,Oil Away Face Wash-100ml,323,90-100 ML,face wash and cleanser
4.6,485.0,MCaffeine,Berry Cute Glow Kit,254,50-60 ML,skin care gift set
4.5,5700.0,Soulflower,Set of Shampoo & Hair Oil,900,Pack,hair care combo
4.5,16700.0,Garnier,Men Acno Fight Facewash,224,125-150gm,face wash and cleanser
4.6,51.0,Palmer's,Coconut Oil Body Oil 150 ml,557,150-200 ML,massage oils
4.6,228.0,Nourish Mantra,Mask Mini Trio Face Care Kit,750,30-40 ML,mask and peel
4.5,11100.0,Minimalist,B12 + Oat 6.5% Gentle Cleanser,284,100-125 ML,face wash and cleanser
4.5,98000.0,Minimalist,Salicylic Face Wash- - 100 ml,284,90-100 ML,face wash and cleanser
4.6,18.0,BIRRA,Trulove EDP - 100 ml,1343,75-100 ML,perfume
4.4,15.0,BIRRA,Men Alden EDP - 105 ml,1121,100-150 ML,perfume
,,Aurrelis,Discovery Pack (6x8) 48ml,926,25-50 ML,perfume
3.7,19.0,FLiCKA,Lipstick - Twinkle Twinkle 01,435,4-5 ML,lipstick
4.2,29.0,BIRRA,Men Acqua Eau De Parfum- 105ml,1343,100-150 ML,perfume
4.7,7.0,BIRRA,Men Dark Side EDP - 105 ml,1348,100-150 ML,perfume
4.4,668.0,OROSSENTIALS,Small Oval Wooden Hair Brush,432,Onesize,hair brush and comb
4.5,300.0,KAMA AYURVEDA,Sustain Unisex Cleansing Foam 100 ml,2295,90-100 ML,face wash and cleanser
5.0,5.0,BIRRA,Glimpse EDP - 100 ml,1348,75-100 ML,perfume
,,BIRRA,Men Milano Max EDP - 120 ml,1088,100-150 ML,perfume
4.3,14500.0,WOW SKIN SCIENCE,Face Wash with Built-In Brush,298,125-150 ML,face wash and cleanser
4.2,6800.0,Renee,Set Of 4 Very Matte Lipsticks,473,0-2 ML,lipstick
,,Bhartiye Products,Structured Handheld Bag,750,Onesize,handbags
4.5,176.0,OXYLIFE,ProRadiance Pure Oxygen Facial,215,50-60 ML,facial kit
4.5,1600.0,FAE BEAUTY,Lush Liquid Blush - Spicy 08,540,5-5.5 ML,blush
3.9,617.0,Renee,Lipstick - Queen Bee S06,414,3.5-4 ML,lipstick
,,THE 9192,Hair Oil Gel & Spider Wax,1161,Pack,hair gels and wax
4.4,29.0,Inatur,Natural Argan Oil - 30 ml,399,30-50 ML,massage oils
4.5,51700.0,Minimalist,Salicylic Acid Face Serum 10ml,236,0-10 ML,serum and gel
4.5,10100.0,LOreal Professionnel,XtensoCare Hair Serum- 50ml,795,30-50 ML,hair serum
4.5,16900.0,Bio Oil,Specialist Skin Care Oil 60 ml,500,50-100 ML,massage oils
4.5,16900.0,Bio Oil,Specialist Skin Care Oil 125ml,965,100-150 ML,massage oils
4.5,4500.0,Olay,Total Effects Cleanser 100g,212,90-100 ML,face wash and cleanser
4.6,98500.0,Ponds,Activated Charcoal Face Wash,268,150-200 ML,face wash and cleanser
4.6,12.0,OXYLIFE,Pro White Facial with 2 Kajals,1251,260-280 ML,facial kit
4.3,8.0,TNW the natural wash,2 Pc Almond Oil & Rose Water,748,150-200 ML,massage oils
4.5,1400.0,Jovees,Cucumber Skin Toner 200 ml,276,200-220 ML,toner
,,Thalgo,Purete Marine Gel - 200 ml,3400,150-200 ML,face wash and cleanser
,,THE 9192,Spider Wax & Mix Fruit Gel,738,Pack,hair gels and wax
,,THE 9192,Hair Comb Mix Fruit Hair Gel,286,100-150 ML,hair gels and wax
4.4,109.0,BRILLARE,Oil Away Face Wash-100ml,323,90-100 ML,face wash and cleanser
4.5,8.0,Oriflame,Oil Control Clay mask - 50 ml,418,40-50 ML,mask and peel
4.4,6700.0,Plum,Set of 3 Face Serum,1231,Pack,serum and gel
4.7,821.0,MCaffeine,De-Tan Raspberry Gift Kit,850,400gm & Above,skin care combo
4.5,16700.0,Garnier,Men Acno Fight Facewash,224,125-150gm,face wash and cleanser
4.5,11100.0,Minimalist,B12 + Oat 6.5% Gentle Cleanser,284,100-125 ML,face wash and cleanser
4.5,558.0,TNW the natural wash,Kumkumadi Face Toner - 100 ml,270,90-100 ML,toner
,,KAZIMA,100% Pure & Natural Spikenard Essential Oil 15 ml,549,10-20 ML,massage oils
4.4,467.0,Fix My Curls,Curl Quenching Flax Seed Gelly,638,180-200 ML,hair gels and wax
4.5,3000.0,Cetaphil,Bright Healthy Radiance Serum,871,0-10 ML,serum and gel
4.4,93.0,Satthwa,Cold Pressed Castor Oil- 200ml,249,150-200 ML,massage oils
,,Oriflame Sweden,Clarifying Toning Solution,472,140-160 ML,toner
4.0,927.0,The Wellness Shop,Best Bikini Wax,378,90-100gm,body wax and essentials
4.6,6200.0,Pilgrim,Alcohol-Free Face Mist & Toner,204,75-100 ML,toner
4.3,17.0,Lush Naturals,Set Of 3 Almond & Rose Soaps,580,300 Gram,soap
4.4,132.0,Soulflower,Kumkumadi Face Wash 100 ml,299,100-125 ML,face wash and cleanser
4.4,230400.0,Maybelline,660 Touch Of Spice Lipstick,246,3.5-4 ML,lipstick
4.4,1100.0,Quench,Cica Pimple Acne Patches-24Pcs,254,Pack,mask and peel
,,Earthan,4-Pcs Teapot and Cup,3500,Onesize,tea set
4.6,18.0,BIRRA,Trulove EDP - 100 ml,1343,75-100 ML,perfume
4.5,98000.0,Minimalist,Salicylic Face Wash- - 100 ml,284,90-100 ML,face wash and cleanser
,,Aurrelis,Discovery Pack (6x8) 48ml,926,25-50 ML,perfume
4.4,15.0,BIRRA,Men Alden EDP - 105 ml,1121,100-150 ML,perfume
4.2,29.0,BIRRA,Men Acqua Eau De Parfum- 105ml,1343,100-150 ML,perfume
3.7,19.0,FLiCKA,Lipstick - Twinkle Twinkle 01,435,4-5 ML,lipstick
4.4,668.0,OROSSENTIALS,Small Oval Wooden Hair Brush,432,Onesize,hair brush and comb
4.7,7.0,BIRRA,Men Dark Side EDP - 105 ml,1348,100-150 ML,perfume
5.0,5.0,BIRRA,Glimpse EDP - 100 ml,1348,75-100 ML,perfume
4.5,300.0,KAMA AYURVEDA,Sustain Unisex Cleansing Foam 100 ml,2295,90-100 ML,face wash and cleanser
4.3,14500.0,WOW SKIN SCIENCE,Face Wash with Built-In Brush,298,125-150 ML,face wash and cleanser
,,BIRRA,Men Milano Max EDP - 120 ml,1088,100-150 ML,perfume
,,Bhartiye Products,Structured Handheld Bag,750,Onesize,handbags
4.2,6800.0,Renee,Set Of 4 Very Matte Lipsticks,473,0-2 ML,lipstick
4.5,1600.0,FAE BEAUTY,Lush Liquid Blush - Spicy 08,540,5-5.5 ML,blush
4.5,176.0,OXYLIFE,ProRadiance Pure Oxygen Facial,215,50-60 ML,facial kit
,,THE 9192,Hair Oil Gel & Spider Wax,1161,Pack,hair gels and wax
3.9,617.0,Renee,Lipstick - Queen Bee S06,414,3.5-4 ML,lipstick
4.5,51700.0,Minimalist,Salicylic Acid Face Serum 10ml,236,0-10 ML,serum and gel
4.4,29.0,Inatur,Natural Argan Oil - 30 ml,399,30-50 ML,massage oils
4.5,16900.0,Bio Oil,Specialist Skin Care Oil 60 ml,500,50-100 ML,massage oils
4.5,10100.0,LOreal Professionnel,XtensoCare Hair Serum- 50ml,795,30-50 ML,hair serum
4.5,16900.0,Bio Oil,Specialist Skin Care Oil 125ml,965,100-150 ML,massage oils
4.6,12.0,OXYLIFE,Pro White Facial with 2 Kajals,1251,260-280 ML,facial kit
4.5,4500.0,Olay,Total Effects Cleanser 100g,212,90-100 ML,face wash and cleanser
4.3,8.0,TNW the natural wash,2 Pc Almond Oil & Rose Water,748,150-200 ML,massage oils
,,THE 9192,Spider Wax & Mix Fruit Gel,738,Pack,hair gels and wax
4.6,98500.0,Ponds,Activated Charcoal Face Wash,268,150-200 ML,face wash and cleanser
,,THE 9192,Hair Comb Mix Fruit Hair Gel,286,100-150 ML,hair gels and wax
4.4,6700.0,Plum,Set of 3 Face Serum,1231,Pack,serum and gel
4.5,1400.0,Jovees,Cucumber Skin Toner 200 ml,276,200-220 ML,toner
4.7,821.0,MCaffeine,De-Tan Raspberry Gift Kit,850,400gm & Above,skin care combo
4.5,558.0,TNW the natural wash,Kumkumadi Face Toner - 100 ml,270,90-100 ML,toner
,,Thalgo,Purete Marine Gel - 200 ml,3400,150-200 ML,face wash and cleanser
,,KAZIMA,100% Pure & Natural Spikenard Essential Oil 15 ml,549,10-20 ML,massage oils
4.4,93.0,Satthwa,Cold Pressed Castor Oil- 200ml,249,150-200 ML,massage oils
4.4,109.0,BRILLARE,Oil Away Face Wash-100ml,323,90-100 ML,face wash and cleanser
,,Oriflame Sweden,Clarifying Toning Solution,472,140-160 ML,toner
4.3,17.0,Lush Naturals,Set Of 3 Almond & Rose Soaps,580,300 Gram,soap
4.5,16700.0,Garnier,Men Acno Fight Facewash,224,125-150gm,face wash and cleanser
4.5,8.0,Oriflame,Oil Control Clay mask - 50 ml,418,40-50 ML,mask and peel
4.4,132.0,Soulflower,Kumkumadi Face Wash 100 ml,299,100-125 ML,face wash and cleanser
4.5,11100.0,Minimalist,B12 + Oat 6.5% Gentle Cleanser,284,100-125 ML,face wash and cleanser
4.3,104.0,BAKE,De-Tan Sunscreen Spray,420,100-120 ML,face sunscreen
4.6,485.0,MCaffeine,Berry Cute Glow Kit,254,50-60 ML,skin care gift set
4.4,467.0,Fix My Curls,Curl Quenching Flax Seed Gelly,638,180-200 ML,hair gels and wax
4.5,5700.0,Soulflower,Set of Shampoo & Hair Oil,900,Pack,hair care combo
4.6,51.0,Palmer's,Coconut Oil Body Oil 150 ml,557,150-200 ML,massage oils
4.4,1100.0,Quench,Cica Pimple Acne Patches-24Pcs,254,Pack,mask and peel
,,Earthan,4-Pcs Teapot and Cup,3500,Onesize,tea set
4.6,18.0,BIRRA,Trulove EDP - 100 ml,1343,75-100 ML,perfume
4.5,98000.0,Minimalist,Salicylic Face Wash- - 100 ml,284,90-100 ML,face wash and cleanser
4.4,15.0,BIRRA,Men Alden EDP - 105 ml,1121,100-150 ML,perfume
4.2,29.0,BIRRA,Men Acqua Eau De Parfum- 105ml,1343,100-150 ML,perfume
,,Aurrelis,Discovery Pack (6x8) 48ml,926,25-50 ML,perfume
4.7,7.0,BIRRA,Men Dark Side EDP - 105 ml,1348,100-150 ML,perfume
5.0,5.0,BIRRA,Glimpse EDP - 100 ml,1348,75-100 ML,perfume
3.7,19.0,FLiCKA,Lipstick - Twinkle Twinkle 01,435,4-5 ML,lipstick
,,BIRRA,Men Milano Max EDP - 120 ml,1088,100-150 ML,perfume
,,Bhartiye Products,Structured Handheld Bag,750,Onesize,handbags
4.4,668.0,OROSSENTIALS,Small Oval Wooden Hair Brush,432,Onesize,hair brush and comb
4.5,176.0,OXYLIFE,ProRadiance Pure Oxygen Facial,215,50-60 ML,facial kit
,,THE 9192,Hair Oil Gel & Spider Wax,1161,Pack,hair gels and wax
4.5,300.0,KAMA AYURVEDA,Sustain Unisex Cleansing Foam 100 ml,2295,90-100 ML,face wash and cleanser
4.4,29.0,Inatur,Natural Argan Oil - 30 ml,399,30-50 ML,massage oils
4.5,16900.0,Bio Oil,Specialist Skin Care Oil 60 ml,500,50-100 ML,massage oils
4.3,14500.0,WOW SKIN SCIENCE,Face Wash with Built-In Brush,298,125-150 ML,face wash and cleanser
4.5,16900.0,Bio Oil,Specialist Skin Care Oil 125ml,965,100-150 ML,massage oils
4.6,12.0,OXYLIFE,Pro White Facial with 2 Kajals,1251,260-280 ML,facial kit
4.2,6800.0,Renee,Set Of 4 Very Matte Lipsticks,473,0-2 ML,lipstick
4.3,8.0,TNW the natural wash,2 Pc Almond Oil & Rose Water,748,150-200 ML,massage oils
,,THE 9192,Spider Wax & Mix Fruit Gel,738,Pack,hair gels and wax
4.5,1600.0,FAE BEAUTY,Lush Liquid Blush - Spicy 08,540,5-5.5 ML,blush
,,THE 9192,Hair Comb Mix Fruit Hair Gel,286,100-150 ML,hair gels and wax
4.4,6700.0,Plum,Set of 3 Face Serum,1231,Pack,serum and gel
3.9,617.0,Renee,Lipstick - Queen Bee S06,414,3.5-4 ML,lipstick
4.7,821.0,MCaffeine,De-Tan Raspberry Gift Kit,850,400gm & Above,skin care combo
4.5,558.0,TNW the natural wash,Kumkumadi Face Toner - 100 ml,270,90-100 ML,toner
4.5,51700.0,Minimalist,Salicylic Acid Face Serum 10ml,236,0-10 ML,serum and gel
,,KAZIMA,100% Pure & Natural Spikenard Essential Oil 15 ml,549,10-20 ML,massage oils
4.4,93.0,Satthwa,Cold Pressed Castor Oil- 200ml,249,150-200 ML,massage oils
4.5,10100.0,LOreal Professionnel,XtensoCare Hair Serum- 50ml,795,30-50 ML,hair serum
,,Oriflame Sweden,Clarifying Toning Solution,472,140-160 ML,toner
4.3,17.0,Lush Naturals,Set Of 3 Almond & Rose Soaps,580,300 Gram,soap
4.5,4500.0,Olay,Total Effects Cleanser 100g,212,90-100 ML,face wash and cleanser
4.5,8.0,Oriflame,Oil Control Clay mask - 50 ml,418,40-50 ML,mask and peel
4.4,132.0,Soulflower,Kumkumadi Face Wash 100 ml,299,100-125 ML,face wash and cleanser
4.6,98500.0,Ponds,Activated Charcoal Face Wash,268,150-200 ML,face wash and cleanser
,,Thalgo,Purete Marine Gel - 200 ml,3400,150-200 ML,face wash and cleanser
4.3,104.0,BAKE,De-Tan Sunscreen Spray,420,100-120 ML,face sunscreen
4.5,1400.0,Jovees,Cucumber Skin Toner 200 ml,276,200-220 ML,toner
